철도운영기관명,선명,역명,경도,위도
용인경전철,에버라인,기흥(에버라인),127.115936,37.275619
용인경전철,에버라인,강남대,127.126033,37.270161
용인경전철,에버라인,지석,127.136515,37.269606
용인경전철,에버라인,어정,127.143714,37.274917
용인경전철,에버라인,동백,127.152716,37.269043
용인경전철,에버라인,초당,127.159443,37.260752
용인경전철,에버라인,삼가,127.168075,37.242115
용인경전철,에버라인,시청·용인대,127.178406,37.239151
용인경전철,에버라인,명지대,127.190294,37.237964
용인경전철,에버라인,김량장,127.198781,37.237247
용인경전철,에버라인,운동장·송담대,127.209198,37.237845
용인경전철,에버라인,고진,127.214251,37.24484
용인경전철,에버라인,보평,127.218457,37.258965
용인경전철,에버라인,둔전,127.21364,37.267051
용인경전철,에버라인,전대·에버랜드,127.219561,37.285342
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
