철도운영기관명,선명,역명,경도,위도
코레일,1호선,회룡,127.046895,37.724846
코레일,1호선,도봉산,127.046222,37.689313
코레일,1호선,창동,127.047731,37.653166
코레일,1호선,녹천,127.051269,37.644799
코레일,1호선,월계,127.058831,37.633212
코레일,1호선,광운대,127.061835,37.623632
코레일,1호선,신이문,127.067325,37.601854
코레일,1호선,외대앞,127.063549,37.596073
코레일,1호선,방학,127.044273,37.667503
코레일,1호선,도봉,127.045595,37.679563
코레일,1호선,망월사,127.047455,37.709914
코레일,1호선,의정부,127.045958,37.738415
코레일,1호선,가능,127.044213,37.748577
코레일,1호선,녹양,127.042292,37.75938
코레일,1호선,양주,127.044708,37.774381
코레일,1호선,덕계,127.056486,37.818486
코레일,1호선,덕정,127.061277,37.843188
코레일,1호선,지행,127.055716,37.892334
코레일,1호선,동두천중앙,127.056482,37.901885
코레일,1호선,보산,127.057277,37.913702
코레일,1호선,동두천,127.05479,37.927878
코레일,1호선,소요산,127.061034,37.9481
코레일,1호선,남영,126.9713,37.541021
코레일,1호선,용산,126.964561,37.529849
코레일,1호선,노량진,126.942454,37.514219
코레일,1호선,대방,126.926382,37.513342
코레일,1호선,영등포,126.907628,37.515504
코레일,1호선,신도림,126.891295,37.508725
코레일,1호선,구로,126.881966,37.503039
코레일,1호선,온수,126.823388,37.492258
코레일,1호선,소사,126.79544,37.482753
코레일,1호선,주안,126.679923,37.464941
코레일,1호선,인천,126.616936,37.476691
코레일,1호선,봉명,127.135763,36.801215
코레일,1호선,쌍용(나사렛대),127.1214,36.793759
코레일,1호선,아산,127.104361,36.792053
코레일,1호선,배방,127.052991,36.777629
코레일,1호선,온양온천,127.003249,36.780483
코레일,1호선,신창(순천향대),126.951108,36.769502
코레일,1호선,금천구청,126.89398,37.455626
코레일,1호선,가산디지털단지,126.882343,37.481072
코레일,1호선,부평,126.724805,37.489493
코레일,1호선,신길,126.917169,37.517122
코레일,1호선,석계,127.065851,37.614805
코레일,1호선,금정,126.943429,37.372221
코레일,1호선,수원,126.999874,37.265974
코레일,1호선,성균관대,126.97075,37.300349
코레일,1호선,구일,126.870793,37.496756
코레일,1호선,회기,127.057583,37.58946
코레일,1호선,석수,126.902295,37.435047
코레일,1호선,관악,126.908706,37.419232
코레일,1호선,안양,126.922874,37.401592
코레일,1호선,명학,126.935433,37.384653
코레일,1호선,군포,126.948462,37.35356
코레일,1호선,의왕,126.948217,37.320852
코레일,1호선,화서,126.989627,37.283862
코레일,1호선,독산,126.889249,37.466613
코레일,1호선,세류,127.013222,37.245025
코레일,1호선,병점,127.032731,37.207503
코레일,1호선,세마,127.04318,37.187533
코레일,1호선,오산대,127.063197,37.168953
코레일,1호선,오산,127.06672,37.145885
코레일,1호선,진위,127.062278,37.109447
코레일,1호선,송탄,127.054301,37.075696
코레일,1호선,서정리,127.052819,37.056496
코레일,1호선,지제,127.070444,37.0188
코레일,1호선,평택,127.085159,36.990726
코레일,1호선,성환,127.126964,36.916076
코레일,1호선,직산,127.143904,36.870593
코레일,1호선,두정,127.14896,36.833705
코레일,1호선,천안,127.146826,36.810005
코레일,1호선,당정,126.948345,37.344285
코레일,1호선,서동탄,127.051672,37.195504
코레일,1호선,광명,126.884466,37.416182
코레일,1호선,개봉,126.85868,37.494594
코레일,1호선,오류동,126.845365,37.494526
코레일,1호선,역곡,126.811502,37.485178
코레일,1호선,부천,126.782686,37.48405
코레일,1호선,송내,126.753664,37.4876
코레일,1호선,백운,126.707704,37.483664
코레일,1호선,동암,126.702896,37.471408
코레일,1호선,제물포,126.656666,37.466769
코레일,1호선,동인천,126.632802,37.475276
코레일,1호선,부개,126.74109,37.488418
코레일,1호선,간석,126.694181,37.464737
코레일,1호선,도원,126.642706,37.468446
코레일,1호선,중동,126.764843,37.486562
코레일,1호선,도화,126.668672,37.46607
서울교통공사,1호선,제기동,127.034893,37.578103
서울교통공사,1호선,신설동,127.025087,37.575297
서울교통공사,1호선,동묘앞,127.016429,37.572627
서울교통공사,1호선,동대문,127.009745,37.57142
서울교통공사,1호선,종로5가,127.001849,37.570926
서울교통공사,1호선,종로3가,126.991806,37.571607
서울교통공사,1호선,종각,126.982923,37.570161
서울교통공사,1호선,시청,126.977108,37.564718
서울교통공사,1호선,서울역,126.972559,37.554648
