철도운영기관명,선명,역명,경도,위도
서울교통공사,6호선,응암,126.915577,37.598605
서울교통공사,6호선,역촌,126.922744,37.606021
서울교통공사,6호선,독바위,126.933031,37.618456
서울교통공사,6호선,구산,126.91727,37.611377
서울교통공사,6호선,새절(신사),126.913629,37.591148
서울교통공사,6호선,증산(명지대앞),126.909645,37.583876
서울교통공사,6호선,디지털미디어시티,126.900984,37.576646
서울교통공사,6호선,월드컵경기장(성산),126.899298,37.569532
서울교통공사,6호선,마포구청,126.903343,37.563515
서울교통공사,6호선,망원,126.910052,37.556094
서울교통공사,6호선,상수,126.922852,37.547716
서울교통공사,6호선,광흥창(서강),126.931993,37.547456
서울교통공사,6호선,대흥(서강대앞),126.942069,37.547771
서울교통공사,6호선,공덕,126.951592,37.544018
서울교통공사,6호선,효창공원앞,126.961351,37.539261
서울교통공사,6호선,삼각지,126.97311,37.534777
서울교통공사,6호선,녹사평(용산구청),126.986695,37.534675
서울교통공사,6호선,이태원,126.994302,37.534488
서울교통공사,6호선,한강진,127.001725,37.539631
서울교통공사,6호선,버티고개,127.007055,37.548013
서울교통공사,6호선,약수,127.010655,37.55434
서울교통공사,6호선,청구,127.013828,37.560245
서울교통공사,6호선,신당,127.01782,37.565972
서울교통공사,6호선,동묘앞,127.016429,37.572627
서울교통공사,6호선,창신,127.015241,37.579661
서울교통공사,6호선,보문,127.019381,37.585286
서울교통공사,6호선,안암(고대병원앞),127.029005,37.586272
서울교통공사,6호선,고려대(종암),127.036296,37.590508
서울교통공사,6호선,월곡(동덕여대),127.041518,37.601948
서울교통공사,6호선,상월곡(한국과학기술연구원),127.048491,37.606377
서울교통공사,6호선,돌곶이,127.056431,37.610537
서울교통공사,6호선,태릉입구,127.07512,37.617983
서울교통공사,6호선,화랑대(서울여대입구),127.084689,37.620064
서울교통공사,6호선,봉화산(서울의료원),127.091401,37.617283
