철도운영기관명,선명,역명,경도,위도
서울교통공사,5호선,방화,126.812741,37.577446
서울교통공사,5호선,개화산,126.806171,37.572399
서울교통공사,5호선,김포공항,126.801058,37.562434
서울교통공사,5호선,송정,126.811973,37.561184
서울교통공사,5호선,마곡,126.825448,37.560183
서울교통공사,5호선,발산,126.837668,37.558598
서울교통공사,5호선,우장산,126.836318,37.548768
서울교통공사,5호선,화곡,126.840461,37.541513
서울교통공사,2호선,까치산,126.846683,37.531768
서울교통공사,5호선,신정(은행정),126.856191,37.524997
서울교통공사,5호선,목동,126.864931,37.526065
서울교통공사,5호선,오목교(목동운동장앞),126.875181,37.524496
서울교통공사,5호선,양평,126.885778,37.525648
서울교통공사,5호선,영등포구청,126.895951,37.52497
서울교통공사,5호선,영등포시장,126.905139,37.522669
서울교통공사,5호선,신길,126.917169,37.517122
서울교통공사,5호선,여의도,126.924191,37.521624
서울교통공사,5호선,여의도,126.924191,37.521624
서울교통공사,5호선,여의나루,126.932901,37.527098
서울교통공사,5호선,마포,126.945932,37.539574
서울교통공사,5호선,공덕,126.951592,37.544018
서울교통공사,5호선,애오개,126.95682,37.553736
서울교통공사,5호선,충정로,126.963672,37.559973
서울교통공사,5호선,서대문,126.966641,37.565773
서울교통공사,5호선,광화문(세종문화회관),126.976669,37.571026
서울교통공사,5호선,종로3가,126.991806,37.571607
서울교통공사,5호선,을지로4가,126.998079,37.566941
서울교통공사,5호선,동대문역사문화공원,127.007896,37.565138
서울교통공사,5호선,청구,127.013828,37.560245
서울교통공사,5호선,신금호,127.020331,37.554548
서울교통공사,5호선,행당,127.029476,37.557322
서울교통공사,5호선,왕십리,127.037732,37.561533
서울교통공사,5호선,마장,127.042973,37.5661
서울교통공사,5호선,답십리,127.052704,37.566747
서울교통공사,5호선,장한평,127.064623,37.56144
서울교통공사,5호선,군자(능동),127.079542,37.557121
서울교통공사,5호선,아차산(어린이대공원후문),127.089761,37.551691
서울교통공사,5호선,광나루(장신대),127.10357,37.545303
서울교통공사,5호선,천호(풍납토성),127.123572,37.538397
서울교통공사,5호선,강동,127.132481,37.535804
서울교통공사,5호선,길동,127.140004,37.537801
서울교통공사,5호선,굽은다리(강동구민회관앞),127.142853,37.545477
서울교통공사,5호선,명일,127.143999,37.55137
서울교통공사,5호선,고덕,127.154151,37.555004
서울교통공사,5호선,상일동,127.166417,37.556712
서울교통공사,5호선,둔촌동,127.136248,37.527788
서울교통공사,5호선,올림픽공원(한국체대),127.130848,37.516078
서울교통공사,5호선,방이,127.126133,37.508857
서울교통공사,5호선,개롱,127.13482,37.498079
서울교통공사,5호선,거여,127.14415,37.493105
서울교통공사,5호선,마천,127.152781,37.49499
