철도운영기관명,선명,역명,경도,위도
서울교통공사,4호선,당고개,127.079066,37.670272
서울교통공사,4호선,상계,127.073572,37.660878
서울교통공사,4호선,노원,127.061368,37.655128
서울교통공사,4호선,창동,127.047731,37.653166
서울교통공사,4호선,쌍문,127.034709,37.648627
서울교통공사,4호선,수유(강북구청),127.025732,37.638052
서울교통공사,4호선,미아,127.025983,37.62667
서울교통공사,4호선,미아사거리,127.030053,37.613292
서울교통공사,4호선,길음,127.025053,37.603407
서울교통공사,4호선,성신여대입구(돈암),127.016403,37.592624
서울교통공사,4호선,한성대입구(삼선교),127.006221,37.588458
서울교통공사,4호선,혜화,127.001844,37.582336
서울교통공사,4호선,동대문,127.009745,37.57142
서울교통공사,4호선,동대문역사문화공원,127.007896,37.565138
서울교통공사,4호선,충무로,126.99428,37.561243
서울교통공사,4호선,명동,126.986325,37.560989
서울교통공사,4호선,회현(남대문시장),126.978246,37.558514
서울교통공사,4호선,서울역,126.972559,37.554648
서울교통공사,4호선,숙대입구(갈월),126.972106,37.54456
서울교통공사,4호선,삼각지,126.97311,37.534777
서울교통공사,4호선,신용산,126.967894,37.52917
서울교통공사,4호선,이촌(국립중앙박물관),126.974345,37.522272
서울교통공사,4호선,동작(현충원),126.979306,37.502971
서울교통공사,4호선,총신대입구(이수),126.981989,37.486263
서울교통공사,4호선,남태령,126.989134,37.463873
코레일,4호선,선바위,127.002303,37.451673
코레일,4호선,경마공원,127.007888,37.443885
코레일,4호선,대공원,127.006523,37.435675
코레일,4호선,과천,126.996568,37.433021
코레일,4호선,정부과천청사,126.98978,37.426513
코레일,4호선,인덕원,126.976715,37.401553
코레일,4호선,평촌,126.963883,37.394287
코레일,4호선,범계,126.950806,37.389793
코레일,4호선,금정,126.943429,37.372221
코레일,4호선,산본,126.933274,37.358101
코레일,4호선,수리산,126.925365,37.349801
코레일,4호선,대야미,126.917332,37.328467
코레일,4호선,반월,126.903524,37.312212
코레일,4호선,상록수,126.866489,37.302795
코레일,4호선,한대앞,126.85344,37.309689
코레일,4호선,중앙,126.838573,37.315941
코레일,4호선,고잔,126.823249,37.316777
코레일,4호선,초지,126.805913,37.320646
코레일,4호선,안산,126.788532,37.327082
코레일,4호선,신길온천,126.765844,37.338212
코레일,4호선,정왕,126.742989,37.351735
코레일,4호선,오이도,126.738714,37.362357
