철도운영기관명,선명,역명,경도,위도
서울교통공사,7호선,장암,127.053196,37.700109
서울교통공사,7호선,도봉산,127.046222,37.689313
서울교통공사,7호선,수락산,127.055315,37.67785
서울교통공사,7호선,마들,127.057675,37.66494
서울교통공사,7호선,중계,127.064303,37.644583
서울교통공사,7호선,하계,127.06799,37.636352
서울교통공사,7호선,공릉(서울과학기술대),127.072896,37.625742
서울교통공사,7호선,태릉입구,127.07512,37.617983
서울교통공사,7호선,먹골,127.077725,37.610637
서울교통공사,7호선,중화,127.079264,37.602545
서울교통공사,7호선,상봉,127.085032,37.596362
서울교통공사,7호선,면목,127.087503,37.588579
서울교통공사,7호선,사가정,127.088478,37.580894
서울교통공사,7호선,용마산,127.086727,37.573647
서울교통공사,7호선,중곡,127.08432,37.565923
서울교통공사,7호선,군자,127.079542,37.557121
서울교통공사,7호선,어린이대공원(세종대),127.074658,37.548014
서울교통공사,2호선,건대입구,127.07023,37.540693
서울교통공사,7호선,뚝섬유원지,127.066704,37.53154
서울교통공사,7호선,청담,127.05335,37.519365
서울교통공사,7호선,강남구청,127.04128,37.517186
서울교통공사,7호선,학동,127.031656,37.514229
서울교통공사,7호선,논현,127.021415,37.511093
서울교통공사,7호선,반포,127.011727,37.508178
서울교통공사,7호선,내방,126.993513,37.487618
서울교통공사,7호선,총신대입구,126.981989,37.486263
서울교통공사,7호선,남성,126.971251,37.484596
서울교통공사,7호선,숭실대입구(살피재),126.953822,37.496029
서울교통공사,7호선,상도,126.94791,37.502834
서울교통공사,7호선,장승배기,126.93915,37.504898
서울교통공사,7호선,신대방삼거리,126.928276,37.499701
서울교통공사,7호선,보라매,126.920428,37.499872
서울교통공사,7호선,신풍,126.90993,37.50008
서울교통공사,7호선,대림,126.895801,37.49297
서울교통공사,7호선,남구로,126.887249,37.486056
서울교통공사,7호선,가산디지털단지,126.882343,37.481072
서울교통공사,7호선,철산,126.867911,37.47605
서울교통공사,7호선,광명사거리,126.854876,37.479252
서울교통공사,7호선,천왕,126.838713,37.486637
서울교통공사,7호선,온수,126.823388,37.492258
서울교통공사,7호선,까치울,126.810939,37.506207
서울교통공사,7호선,부천종합운동장,126.797337,37.50538
서울교통공사,7호선,춘의,126.787036,37.503663
서울교통공사,7호선,신중동,126.77596,37.503048
서울교통공사,7호선,부천시청,126.763538,37.504631
서울교통공사,7호선,상동,126.753083,37.505781
서울교통공사,7호선,삼산체육관,126.742153,37.506411
서울교통공사,7호선,굴포천,126.73128,37.506997
서울교통공사,7호선,부평구청,126.720548,37.508336
